
Palette: 0
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 7
overseersSpawnChance: 0.8
overseersMin: 0
overseersMax: 4
playerGuideOverseerSpawnChance: 1.0
earlyCycleChance: 0.02
earlyCycleFloodChance: 0.33
pupSpawnChance: 0.15
Room Setting Templates: Outside, Inside
Subregion: Outskirts
Room_Attr: SU_A39: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A38: PinkLizard-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A25: GreenLizard-Forbidden,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A24: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A23: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A22: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A41: Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,
Room_Attr: SU_A42: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A43: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A44: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_S01: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,
Room_Attr: SU_A06: GreenLizard-Like,PinkLizard-Avoid,Vulture-Avoid,KingVulture-Avoid,DropBug-Like,
Room_Attr: SU_A36: PinkLizard-Avoid,Vulture-Forbidden,KingVulture-Forbidden,DropBug-Like,
Room_Attr: SU_B08: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,RedLizard-Like,Salamander-Like,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_B09: Vulture-Forbidden,KingVulture-Forbidden,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A35: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A20: PinkLizard-Like,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Stay,Centipede-Stay,DropBug-Avoid,
Room_Attr: SU_A31: Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A32: Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_B05: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,RedLizard-Like,Salamander-Like,DropBug-Like,
Room_Attr: SU_A07: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,CyanLizard-Avoid,RedLizard-Like,Salamander-Like,Scavenger-Like,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A45: CyanLizard-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,DropBug-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: SU_C02: GreenLizard-Like,PinkLizard-Like,CyanLizard-Avoid,Scavenger-Like,DropBug-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_B06: DropBug-Like,
Room_Attr: SU_B11: DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A12: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: SU_A13: DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_B02: PinkLizard-Like,Vulture-Avoid,KingVulture-Avoid,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A29: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_B10: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A10: GreenLizard-Like,PinkLizard-Like,
Room_Attr: SU_B01: PinkLizard-Like,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_A04: GreenLizard-Like,PinkLizard-Like,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_C01: PinkLizard-Like,DropBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: SU_B14: Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A30: Vulture-Forbidden,KingVulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: GATE_OE_SU: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,FireBug-Forbidden,Inspector-Forbidden,Yeek-Forbidden,
Room_Attr: SU_CAVE01: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_CAVE02: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_PUMP03: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_S05: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,FireBug-Forbidden,Inspector-Forbidden,Yeek-Forbidden,
Room_Attr: SU_CAVE03: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_CAVE04: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_CAVE05: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_PMPSTATION01: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_INTRO01: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,FireBug-Forbidden,Inspector-Forbidden,Yeek-Forbidden,
Room_Attr: SU_PS1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
Room_Attr: SU_VR1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,TerrorLongLegs-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,FireBug-Avoid,Inspector-Avoid,Yeek-Avoid,
